WALL(K),WINDOWS(K),SHGC,INFILTRATION,Cooling load,Heeting load,Total load
0.5,2.5,0.15,1,57.444687,13.423728,70.868415
0.6,2.5,0.15,1,58.070281,13.974061,72.044342
0.7,2.5,0.15,1,58.651745,14.488046,73.139791
0.8,2.5,0.15,1,59.193695,14.970364,74.164059
0.3,2,0.15,1,55.703119,11.347927,67.051046
0.4,2,0.15,1,56.444198,12.002589,68.446787
0.5,2,0.15,1,57.122605,12.606471,69.729076
0.6,2,0.15,1,57.752621,13.166401,70.919022
0.7,2,0.15,1,58.339418,13.68874,72.028158
0.8,2,0.15,1,58.884615,14.177209,73.061824
0.3,1.5,0.15,1,55.527957,10.418231,65.946188
0.4,1.5,0.15,1,56.267942,11.08494,67.352882
0.5,1.5,0.15,1,56.948044,11.699973,68.648017
0.6,1.5,0.15,1,57.576764,12.270139,69.846903
0.7,1.5,0.15,1,58.163454,12.801879,70.965333
0.8,1.5,0.15,1,58.710707,13.298364,72.009071
0.3,2.5,0.2,1,60.244947,11.661376,71.906323
0.4,2.5,0.2,1,60.841879,12.312825,73.154704
0.5,2.5,0.2,1,61.397742,12.913583,74.311325
0.6,2.5,0.2,1,61.919848,13.471326,75.391174
0.7,2.5,0.2,1,62.407921,13.991244,76.399165
0.8,2.5,0.2,1,62.872668,14.478221,77.350889
0.3,2,0.2,1,60.040642,10.823362,70.864004
0.4,2,0.2,1,60.632708,11.484976,72.117684
0.5,2,0.2,1,61.185048,12.09556,73.280608
0.6,2,0.2,1,61.704989,12.662867,74.367856
0.7,2,0.2,1,62.190998,13.190301,75.381299
0.8,2,0.2,1,62.65271,13.684496,76.337206
0.3,1.5,0.2,1,59.900378,9.909556,69.809934
0.4,1.5,0.2,1,60.484977,10.582912,71.067889
0.5,1.5,0.2,1,61.029882,11.203711,72.233593
0.6,1.5,0.2,1,61.544301,11.779286,73.323587
0.7,1.5,0.2,1,62.027675,12.316119,74.343794
0.8,1.5,0.2,1,62.485194,12.818091,75.303285
0.3,2.5,0.3,1,64.835629,11.163333,75.998962
0.4,2.5,0.3,1,65.283465,11.820208,77.103673
0.5,2.5,0.3,1,65.716114,12.426152,78.142266
0.6,2.5,0.3,1,66.131764,12.989546,79.12131
0.7,2.5,0.3,1,66.52411,13.514987,80.039097
0.8,2.5,0.3,1,66.904329,14.006988,80.911317
0.3,2,0.3,1,64.749591,10.331885,75.081476
0.4,2,0.3,1,65.182677,11.000006,76.182683
0.5,2,0.3,1,65.60277,11.615725,77.218495
0.6,2,0.3,1,66.007796,12.186958,78.194754
0.7,2,0.3,1,66.395134,12.719539,79.114673
0.8,2,0.3,1,66.76732,13.218571,79.985891
0.3,1.5,0.3,1,66.754635,9.230284,75.984919
0.4,1.5,0.3,1,67.108459,9.909763,77.018222
0.5,1.5,0.3,1,67.461177,10.535125,77.996302
0.6,1.5,0.3,1,67.806769,11.114145,78.920914
0.7,1.5,0.3,1,68.140101,11.654324,79.794425
0.8,1.5,0.3,1,68.470692,12.160257,80.630949
0.3,2.5,0.1,2,56.652839,18.121506,74.774345
0.4,2.5,0.1,2,57.620424,18.765061,76.385485
0.5,2.5,0.1,2,58.50287,19.35905,77.86192
0.6,2.5,0.1,2,59.301609,19.909876,79.211485
0.7,2.5,0.1,2,60.038554,20.424146,80.4627
0.8,2.5,0.1,2,60.72133,20.905843,81.627173
0.3,2,0.1,2,56.27085,17.247757,73.518607
0.4,2,0.1,2,57.253186,17.904625,75.157811
0.5,2,0.1,2,58.147845,18.510029,76.657874
0.6,2,0.1,2,58.963897,19.071481,78.035378
0.7,2,0.1,2,59.708669,19.593886,79.302555
0.8,2,0.1,2,60.398015,20.084265,80.48228
0.3,1.5,0.1,2,55.968043,16.27613,72.244173
0.4,1.5,0.1,2,55.968043,16.27613,72.244173
0.5,1.5,0.1,2,57.87343,17.566037,75.439467
0.6,1.5,0.1,2,58.699343,18.139667,76.83901
0.7,1.5,0.1,2,59.45703,18.672394,78.129424
0.8,1.5,0.1,2,60.153686,19.170594,79.32428
0.3,2.5,0.15,2,61.263478,17.404473,78.667951
0.4,2.5,0.15,2,62.086796,18.061515,80.148311
0.5,2.5,0.15,2,62.839433,18.666786,81.506219
0.6,2.5,0.15,2,63.537564,19.227818,82.765382
0.7,2.5,0.15,2,64.184695,19.751015,83.93571
0.8,2.5,0.15,2,64.789126,20.240285,85.029411
0.3,2,0.15,2,60.84928,16.546099,77.395379
0.4,2,0.15,2,61.692342,17.216351,78.908693
0.5,2,0.15,2,62.451019,17.83352,80.284539
0.6,2,0.15,2,63.1552,18.404943,81.560143
0.7,2,0.15,2,63.808234,18.936709,82.744943
0.8,2,0.15,2,64.417022,19.43379,83.850812
0.3,1.5,0.15,2,60.577196,15.589253,76.166449
0.4,1.5,0.15,2,61.428512,16.275263,77.703775
0.5,1.5,0.15,2,62.20027,16.905659,79.105929
0.6,1.5,0.15,2,62.906007,17.488751,80.394758
0.7,1.5,0.15,2,63.561891,18.031387,81.593278
0.8,1.5,0.15,2,64.173468,18.537647,82.711115
0.3,2.5,0.2,2,65.459865,16.839509,82.299374
0.4,2.5,0.2,2,66.156229,17.507345,83.663574
0.5,2.5,0.2,2,66.804508,18.121715,84.926223
0.6,2.5,0.2,2,67.40663,18.690492,86.097122
0.7,2.5,0.2,2,67.97009,19.218972,87.189062
0.8,2.5,0.2,2,68.502923,19.715386,88.218309
0.3,2,0.2,2,65.169618,15.977472,81.14709
0.4,2,0.2,2,65.863917,16.658204,82.522121
0.5,2,0.2,2,66.511985,17.284381,83.796366
0.6,2,0.2,2,67.116203,17.864328,84.980531
0.7,2,0.2,2,67.680903,18.403251,86.084154
0.8,2,0.2,2,68.214032,18.906713,87.120745
0.3,1.5,0.2,2,64.928158,15.033939,79.962097
0.4,1.5,0.2,2,65.622433,15.728896,81.351329
0.5,1.5,0.2,2,66.266287,16.368125,82.634412
0.6,1.5,0.2,2,66.871088,16.959047,83.830135
0.7,1.5,0.2,2,67.43481,17.508479,84.943289
0.8,1.5,0.2,2,67.966962,18.02165,85.988612
0.3,2.5,0.3,2,70.114966,16.291893,86.406859
0.4,2.5,0.3,2,70.67885,16.968385,87.647235
0.5,2.5,0.3,2,71.211602,17.591496,88.803098
0.6,2.5,0.3,2,71.712898,18.169359,89.882257
0.7,2.5,0.3,2,72.186966,18.70591,90.892876
0.8,2.5,0.3,2,72.640202,19.208428,91.84863
0.3,2,0.3,2,69.925528,15.433487,85.359015
0.4,2,0.3,2,70.482101,16.124456,86.606557
0.5,2,0.3,2,71.008679,16.758778,87.767457
0.6,2,0.3,2,71.507487,17.346914,88.854401
0.7,2,0.3,2,71.977099,17.893296,89.870395
0.8,2,0.3,2,72.426783,18.403958,90.830741
0.3,1.5,0.3,2,71.807588,14.273043,86.080631
0.4,1.5,0.3,2,72.297213,14.978125,87.275338
0.5,1.5,0.3,2,72.770088,15.626462,88.39655
0.6,1.5,0.3,2,73.219437,16.225952,89.445389
0.7,1.5,0.3,2,73.649824,16.783253,90.433077
0.8,1.5,0.3,2,74.065205,17.303873,91.369078
0.3,2.5,0.35,0.5,65.957276,8.31901,74.276286
0.4,2.5,0.35,0.5,66.221591,8.961337,75.182928
0.5,2.5,0.35,0.5,66.498855,9.554331,76.053186
0.6,2.5,0.35,0.5,66.772938,10.106418,76.879356
0.7,2.5,0.35,0.5,67.042097,10.621738,77.663835
0.8,2.5,0.35,0.5,67.309437,11.105292,78.414729
0.3,2,0.35,0.5,66.040249,7.513099,73.553348
0.4,2,0.35,0.5,66.277506,8.163041,74.440547
0.5,2,0.35,0.5,66.530843,8.764505,75.295348
0.6,2,0.35,0.5,66.788913,9.323118,76.112031
0.7,2,0.35,0.5,67.040716,9.84508,76.885796
0.8,2,0.35,0.5,67.294182,10.334449,77.628631
0.3,1.5,0.35,0.5,68.298188,6.482352,74.78054
0.4,1.5,0.35,0.5,68.44563,7.134281,75.579911
0.5,1.5,0.35,0.5,68.618233,7.739608,76.357841
0.6,1.5,0.35,0.5,68.802558,8.303943,77.106501
0.7,1.5,0.35,0.5,68.997359,8.831229,77.828588
0.8,1.5,0.35,0.5,69.20463,9.325796,78.530426
0.3,2.5,0.4,0.5,69.551674,8.01549,77.567164
0.4,2.5,0.4,0.5,69.734674,8.656248,78.390922
0.5,2.5,0.4,0.5,69.932101,9.249933,79.182034
0.6,2.5,0.4,0.5,70.131589,9.802554,79.934143
0.7,2.5,0.4,0.5,70.339314,10.318954,80.658268
0.8,2.5,0.4,0.5,70.552057,10.802302,81.354359
0.3,2,0.4,0.5,69.716975,7.215854,76.932829
0.4,2,0.4,0.5,69.867901,7.863196,77.731097
0.5,2,0.4,0.5,70.037801,8.4636,78.501401
0.6,2,0.4,0.5,70.218534,9.022911,79.241445
0.7,2,0.4,0.5,70.4046,9.54459,79.94919
0.8,2,0.4,0.5,70.602741,10.034212,80.636953
0.3,1.5,0.4,0.5,70.08632,6.35072,76.43704
0.4,1.5,0.4,0.5,70.192982,7.002033,77.195015
0.5,1.5,0.4,0.5,70.33214,7.607442,77.939582
0.6,1.5,0.4,0.5,70.484011,8.17239,78.656401
0.7,1.5,0.4,0.5,70.644105,8.699938,79.344043
0.8,1.5,0.4,0.5,70.818684,9.195283,80.013967
0.3,2.5,0.45,0.5,73.376112,7.716743,81.092855
0.4,2.5,0.45,0.5,73.480432,8.356941,81.837373
0.5,2.5,0.45,0.5,73.603997,8.949704,82.553701
0.6,2.5,0.45,0.5,73.741897,9.501542,83.243439
0.7,2.5,0.45,0.5,73.891324,10.016886,83.90821
0.8,2.5,0.45,0.5,74.050562,10.500178,84.55074
0.3,2,0.45,0.5,73.541872,6.929051,80.470923
0.4,2,0.45,0.5,73.610895,7.574528,81.185423
0.5,2,0.45,0.5,73.713512,8.173621,81.887133
0.6,2,0.45,0.5,73.828319,8.731408,82.559727
0.7,2,0.45,0.5,73.95486,9.252617,83.207477
0.8,2,0.45,0.5,74.098058,9.741476,83.839534
0.3,1.5,0.45,0.5,72.869134,6.151534,79.020668
0.4,1.5,0.45,0.5,72.911531,6.800156,79.711687
0.5,1.5,0.45,0.5,72.992879,7.40578,80.398659
0.6,1.5,0.45,0.5,73.100055,7.96942,81.069475
0.7,1.5,0.45,0.5,73.218155,8.496815,81.71497
0.8,1.5,0.45,0.5,73.345531,8.992149,82.33768
0.3,2.5,0.5,0.5,77.134993,7.446181,84.581174
0.4,2.5,0.5,0.5,77.160327,8.084722,85.245049
0.5,2.5,0.5,0.5,77.210308,8.675979,85.886287
0.6,2.5,0.5,0.5,77.28823,9.226919,86.515149
0.7,2.5,0.5,0.5,77.393291,9.742616,87.135907
0.8,2.5,0.5,0.5,77.51122,10.225193,87.736413
0.3,2,0.5,0.5,77.388288,6.664643,84.052931
0.4,2,0.5,0.5,77.381722,7.307484,84.689206
0.5,2,0.5,0.5,77.398914,7.903846,85.30276
0.6,2,0.5,0.5,77.445835,8.460008,85.905843
0.7,2,0.5,0.5,77.527401,8.980677,86.508078
0.8,2,0.5,0.5,77.626424,9.469281,87.095705
0.3,1.5,0.5,0.5,76.601523,5.903563,82.505086
0.4,1.5,0.5,0.5,76.564547,6.549652,83.114199
0.5,1.5,0.5,0.5,76.578641,7.150599,83.72924
0.6,1.5,0.5,0.5,76.614619,7.712291,84.32691
0.7,1.5,0.5,0.5,76.676929,8.23827,84.915199
0.8,1.5,0.5,0.5,76.761944,8.732733,85.494677
0.3,2.5,0.55,0.5,79.54869,7.280956,86.829646
0.4,2.5,0.55,0.5,79.526168,7.919774,87.445942
0.5,2.5,0.55,0.5,79.54177,8.511402,88.053172
0.6,2.5,0.55,0.5,79.583438,9.062609,88.646047
0.7,2.5,0.55,0.5,79.651875,9.578595,89.23047
0.8,2.5,0.55,0.5,79.73796,10.062419,89.800379
0.3,2,0.55,0.5,79.762467,6.509433,86.2719
0.4,2,0.55,0.5,79.703163,7.151788,86.854951
0.5,2,0.55,0.5,79.691472,7.748055,87.439527
0.6,2,0.55,0.5,79.70553,8.304812,88.010342
0.7,2,0.55,0.5,79.747268,8.825602,88.57287
0.8,2,0.55,0.5,79.812325,9.314545,89.12687
0.3,1.5,0.55,0.5,80.109161,5.687497,85.796658
0.4,1.5,0.55,0.5,80.002461,6.328997,86.331458
0.5,1.5,0.55,0.5,79.945626,6.927582,86.873208
0.6,1.5,0.55,0.5,79.926724,7.487359,87.414083
0.7,1.5,0.55,0.5,79.943264,8.011954,87.955218
0.8,1.5,0.55,0.5,79.979191,8.50558,88.484771
0.3,2.5,0.6,0.5,83.496966,7.026653,90.523619
0.4,2.5,0.6,0.5,83.400978,7.662778,91.063756
0.5,2.5,0.6,0.5,83.351806,8.252979,91.604785
0.6,2.5,0.6,0.5,83.34634,8.802953,92.149293
0.7,2.5,0.6,0.5,83.36089,9.317303,92.678193
0.8,2.5,0.6,0.5,83.393756,9.800533,93.194289
0.3,2,0.6,0.5,83.799604,6.262174,90.061778
0.4,2,0.6,0.5,83.662053,6.899797,90.56185
0.5,2,0.6,0.5,83.578394,7.49336,91.071754
0.6,2,0.6,0.5,83.540602,8.048223,91.588825
0.7,2,0.6,0.5,83.536881,8.567206,92.104087
0.8,2,0.6,0.5,83.551277,9.054486,92.605763
0.3,1.5,0.6,0.5,84.248443,5.449565,89.698008
0.4,1.5,0.6,0.5,84.050202,6.085753,90.135955
0.5,1.5,0.6,0.5,83.925122,6.679684,90.604806
0.6,1.5,0.6,0.5,83.84487,7.236386,91.081256
0.7,1.5,0.6,0.5,83.811887,7.75858,91.570467
0.8,1.5,0.6,0.5,83.797111,8.249737,92.046848
0.3,2.5,0.35,1,68.578843,10.793312,79.372155
0.4,2.5,0.35,1,68.924781,11.451717,80.376498
0.5,2.5,0.35,1,69.268925,12.059377,81.328302
0.6,2.5,0.35,1,69.602666,12.624548,82.227214
0.7,2.5,0.35,1,69.924147,13.151362,83.075509
0.8,2.5,0.35,1,70.243294,13.644816,83.88811
0.3,2,0.35,1,68.583481,9.964991,78.548472
0.4,2,0.35,1,68.907494,10.63535,79.542844
0.5,2,0.35,1,69.235256,11.251805,80.487061
0.6,2,0.35,1,69.556362,11.824631,81.380993
0.7,2,0.35,1,69.865753,12.358296,82.224049
0.8,2,0.35,1,70.173164,12.858711,83.031875
0.3,1.5,0.35,1,70.767814,8.885674,79.653488
0.4,1.5,0.35,1,71.013402,9.566087,80.579489
0.5,1.5,0.35,1,71.271226,10.192209,81.463435
0.6,1.5,0.35,1,71.52672,10.772983,82.299703
0.7,1.5,0.35,1,71.788557,11.313705,83.102262
0.8,1.5,0.35,1,72.050641,11.819885,83.870526
0.3,2.5,0.4,1,72.245045,10.466253,82.711298
0.4,2.5,0.4,1,72.505772,11.126406,83.632178
0.5,2.5,0.4,1,72.768755,11.735577,84.504332
0.6,2.5,0.4,1,73.027444,12.300375,85.327819
0.7,2.5,0.4,1,73.292351,12.828359,86.12071
0.8,2.5,0.4,1,73.556703,13.322418,86.879121
0.3,2,0.4,1,72.332612,9.641326,81.973938
0.4,2,0.4,1,72.568581,10.31221,82.880791
0.5,2,0.4,1,72.810686,10.930323,83.741009
0.6,2,0.4,1,73.049523,11.503423,84.552946
0.7,2,0.4,1,73.29762,12.037765,85.335385
0.8,2,0.4,1,73.546693,12.538598,86.085291
0.3,1.5,0.4,1,72.612455,8.739234,81.351689
0.4,1.5,0.4,1,72.814434,9.421338,82.235772
0.5,1.5,0.4,1,73.028709,10.049165,83.077874
0.6,1.5,0.4,1,73.247145,10.631081,83.878226
0.7,1.5,0.4,1,73.469612,11.173022,84.642634
0.8,1.5,0.4,1,73.699937,11.680853,85.38079
0.3,2.5,0.45,1,76.171356,10.142279,86.313635
0.4,2.5,0.45,1,76.350909,10.804505,87.155414
0.5,2.5,0.45,1,76.53928,11.413537,87.952817
0.6,2.5,0.45,1,76.734214,11.979955,88.714169
0.7,2.5,0.45,1,76.936637,12.507943,89.44458
0.8,2.5,0.45,1,77.146263,13.002257,90.14852
