WALL(K),WINDOWS(K),SHGC,INFILTRATION,Cooling load,Heeting load,Total load
0.4,2,0.45,2,82.007237,15.008302,97.015539
0.5,2,0.45,2,82.276798,15.651061,97.927859
0.6,2,0.45,2,82.546101,16.245031,98.791132
0.7,2,0.45,2,82.817491,16.79771,99.615201
0.8,2,0.45,2,83.090094,17.314617,100.404711
0.3,1.5,0.45,2,80.796801,13.47075,94.267551
0.4,1.5,0.45,2,81.065553,14.183758,95.249311
0.5,1.5,0.45,2,81.336061,14.839862,96.175923
0.6,1.5,0.45,2,81.601584,15.445463,97.047047
0.7,1.5,0.45,2,81.869517,16.008856,97.878373
0.8,1.5,0.45,2,82.135923,16.534378,98.670301
0.3,2.5,0.5,2,85.746801,14.826077,100.572878
0.4,2.5,0.5,2,85.95351,15.514421,101.467931
0.5,2.5,0.5,2,86.175428,16.147277,102.322705
0.6,2.5,0.5,2,86.401575,16.73318,103.134755
0.7,2.5,0.5,2,86.629989,17.27842,103.908409
0.8,2.5,0.5,2,86.857753,17.788379,104.646132
0.3,2,0.5,2,85.811009,13.979794,99.790803
0.4,2,0.5,2,85.995384,14.68059,100.675974
0.5,2,0.5,2,86.197452,15.325148,101.5226
0.6,2,0.5,2,86.409401,15.921614,102.331015
0.7,2,0.5,2,86.621005,16.475581,103.096586
0.8,2,0.5,2,86.83832,16.993544,103.831864
0.3,1.5,0.5,2,84.74443,13.154206,97.898636
0.4,1.5,0.5,2,84.936723,13.868916,98.805639
0.5,1.5,0.5,2,85.129461,14.525374,99.654835
0.6,1.5,0.5,2,85.337821,15.132893,100.470714
0.7,1.5,0.5,2,85.549173,15.697794,101.246967
0.8,1.5,0.5,2,85.763952,16.225287,101.989239
0.3,2.5,0.55,2,88.326263,14.622917,102.94918
0.4,2.5,0.55,2,88.483805,15.314237,103.798042
0.5,2.5,0.55,2,88.657419,15.949319,104.606738
0.6,2.5,0.55,2,88.843468,16.537503,105.380971
0.7,2.5,0.55,2,89.036484,17.08477,106.121254
0.8,2.5,0.55,2,89.228522,17.59638,106.824902
0.3,2,0.55,2,88.353603,13.785666,102.139269
0.4,2,0.55,2,88.491094,14.488487,102.979581
0.5,2,0.55,2,88.643825,15.135401,103.779226
0.6,2,0.55,2,88.81439,15.733474,104.547864
0.7,2,0.55,2,88.993563,16.290518,105.284081
0.8,2,0.55,2,89.173945,16.809955,105.9839
0.3,1.5,0.55,2,88.473489,12.875367,101.348856
0.4,1.5,0.55,2,88.586038,13.590474,102.176512
0.5,1.5,0.55,2,88.713488,14.248734,102.962222
0.6,1.5,0.55,2,88.861838,14.857423,103.719261
0.7,1.5,0.55,2,89.023711,15.42355,104.447261
0.8,1.5,0.55,2,89.188618,15.952968,105.141586
0.3,2.5,0.6,2,92.535382,14.30804,106.843422
0.4,2.5,0.6,2,92.619889,15.000702,107.620591
0.5,2.5,0.6,2,92.724907,15.637785,108.362692
0.6,2.5,0.6,2,92.843742,16.227349,109.071091
0.7,2.5,0.6,2,92.980858,16.775307,109.756165
0.8,2.5,0.6,2,93.127311,17.287929,110.41524
0.3,2,0.6,2,92.661911,13.471494,106.133405
0.4,2,0.6,2,92.716176,14.175471,106.891647
0.5,2,0.6,2,92.80244,14.822925,107.625365
0.6,2,0.6,2,92.907892,15.422463,108.330355
0.7,2,0.6,2,93.023003,15.980033,109.003036
0.8,2,0.6,2,93.155162,16.501129,109.656291
0.3,1.5,0.6,2,92.884709,12.564003,105.448712
0.4,1.5,0.6,2,92.903167,13.278975,106.182142
0.5,1.5,0.6,2,92.966663,13.938335,106.904998
0.6,1.5,0.6,2,93.044104,14.548011,107.592115
0.7,1.5,0.6,2,93.142821,15.114053,108.256874
0.8,1.5,0.6,2,93.258336,15.643314,108.90165
